season,episode,timestamp,speaker,text
1,1,00:48:09,Devon,There was seriously a man in my yard last night?
1,1,00:48:11,Mark,Yeah.
1,1,00:48:13,Devon,Holy shit.
1,1,00:48:15,Mark,"He, you know, looked at me weird, like he knew me."
1,1,00:48:19,Devon,Did the prowler invading my home make you feel seen?
1,1,00:48:21,Mark,So seen.
1,1,00:48:24,Devon,"Well, there’s a bar down the hill. It’s probably just a stumbler. Speaking of which, you still smell like a distillery."
1,1,00:48:31,Mark,"I’m sorry, I just had to drown out the memory of Mom and Dad switching out my beds
when we were kids."
1,1,00:48:39,Devon,You’ve been sitting on that one.
1,1,00:49:32,Mark,Hello.
1,1,00:49:35,Mark,"Okay. So, recycling was last night, Mrs. Selvig. Tonight’s garbage. And you keep putting your bin on my side. So…"
1,1,00:49:47,Mark,Yeah. Okay.
1,1,00:49:49,Mark,"You know, I actually can’t talk right now. I’m out at dinner. But…"
1,1,00:49:54,Mark,"No, by myself."
1,1,00:49:59,Mark,Pip’s Bar and Grille.
1,1,00:50:02,Mark,Excuse me.
1,1,00:50:05,Petey,Hang up. Quickly.
1,1,00:50:12,Mark,"I’m sorry, Mrs. Selvig. They’ve cooked the food, and it’s here."
1,1,00:50:18,Petey,"Hi, kids. What’s for dinner?"
1,1,00:50:26,Petey,I’m sorry. You don’t get that reference.
1,1,00:50:31,Mark,Are you following me?
1,1,00:50:34,Petey,Your voice is different here. Worse.
1,1,00:50:40,Mark,"Okay, who the fuck are you?
Petey: Petey."
1,1,00:50:43,Petey,My name is Petey. I’m from work.
1,1,00:50:47,Mark,"Well, that’s not plausible. Everyone in my department is…"
1,1,00:50:51,Petey,Severed. Severed. I was.
1,1,00:50:56,Mark,"Okay. Well, severance is pretty permanent."
1,1,00:50:58,Petey,Yeah. Bypassing the implant wasn’t easy. I had help.
1,1,00:51:15,Mark,"So, what, you were unhappy at work?"
1,1,00:51:18,Mark,"And instead of lodging a complaint, you…
Petey: No."
1,1,00:51:21,Petey,I tried that first. So did you.
1,1,00:51:26,Mark,"Right. Okay. So…You’ve unsevered. And now you, what, think they’re after you or something?"
1,1,00:51:41,Petey,"Yeah. “They” being Graner, who’s probably out here right now."
1,1,00:51:49,Mark,"Graner. Okay. Is that, like, a person you know or…"
1,1,00:51:54,Petey,We both know him. We don’t like him.
1,1,00:51:59,Mark,I see.
1,1,00:52:06,Petey,"Nothing down there is what they say. If something happens to me, the things I know need to stay known. I’d prefer it be by a friend."
1,1,00:52:28,Mark,"So, we’re friends?"
1,1,00:52:32,Petey,I’m your best friend. You’re my very good friend.
